Index,Dato,Øvelse,DagensE1RM,AntalDatoAntalØvelse,ForrigeDato,ForrigeE1RM,Delta,PRTjek,Forrige2E1RM,MomentumBaseline,MomentumDelta,MomentumKey,PRFlag
78,25/3/2026,Dødløft,,,20/03/2026 00.00,164.3,,,163.3,163.8,,,
79,27/3/2026,Squat,,,25/03/2026 00.00,120.0,,,150.0,135.0,2.7,1,
80,27/3/2026,Bænkpres,96.3,,25/03/2026 00.00,93.5,2.8,,94.9,94.2,0.0,0,SAND
81,27/3/2026,Dødløft,157.3,,25/03/2026 00.00,164.3,-7.0,,164.3,164.3,,,FALSK
82,3/4/2026,Squat,,,27/03/2026 00.00,120.0,,,120.0,120.0,,,
83,3/4/2026,Bænkpres,96.3,,27/03/2026 00.00,96.3,0.0,,93.5,94.9,,,FALSK
84,3/4/2026,Dødløft,169.2,,27/03/2026 00.00,157.3,11.8,,164.3,160.8,-15.2,-1,FALSK
85,8/4/2026,Squat,120.3,,03/04/2026 00.00,120.0,0.3,,120.0,120.0,0.0,0,FALSK
86,8/4/2026,Bænkpres,90.7,,03/04/2026 00.00,96.3,-5.7,,96.3,96.3,,,FALSK
87,8/4/2026,Dødløft,,,03/04/2026 00.00,169.2,,,157.3,163.3,,,
88,24/4/2026,Squat,120.3,,08/04/2026 00.00,120.3,0.0,,120.0,120.2,3.0,1,FALSK
89,24/4/2026,Bænkpres,,,08/04/2026 00.00,90.7,,,96.3,93.5,-8.3,-1,
90,24/4/2026,Dødløft,,,08/04/2026 00.00,169.2,,,169.2,169.2,-1.0,0,
91,29/4/2026,Squat,123.0,,24/04/2026 00.00,120.3,2.7,,120.3,120.3,,,FALSK
92,29/4/2026,Bænkpres,90.7,,24/04/2026 00.00,90.7,0.0,,90.7,90.7,-1.9,-1,FALSK
93,29/4/2026,Dødløft,,,24/04/2026 00.00,169.2,,,169.2,169.2,6.5,1,
94,1/5/2026,Squat,,,29/04/2026 00.00,123.0,,,120.3,121.7,6.0,1,
95,1/5/2026,Bænkpres,,,29/04/2026 00.00,90.7,,,90.7,90.7,7.5,1,
96,1/5/2026,Dødløft,154.0,,29/04/2026 00.00,169.2,-15.2,,169.2,169.2,11.5,1,FALSK
97,6/5/2026,Squat,123.0,,01/05/2026 00.00,123.0,0.0,,123.0,123.0,1.3,1,FALSK
98,6/5/2026,Bænkpres,,,01/05/2026 00.00,90.7,,,90.7,90.7,2.9,1,
99,6/5/2026,Dødløft,,,01/05/2026 00.00,154.0,,,169.2,161.6,,,
100,8/5/2026,Squat,126.0,,06/05/2026 00.00,123.0,3.0,,123.0,123.0,,,FALSK
